Seq2Seq20slg,translation
SE REFORM WILL BE INTRODUCE AGAINST BACKGROUND DESC-UNPRECEDENTED EFFORT DESC-ALREADY UNDER WAY .,these reforms will be introduced against the background of the unprecedented efforts already under way.
RESPONSIBILITY SHOW BY GOVERNMENT NEED TO BE MATCH BY DESC-FINANCIAL MARKET PLAYER .,the responsibility shown by the government needs to be matched by the financial market players.
ONE MUST BEAR IN MIND THAT DESC-FINANCIAL MARKET PLAYER BE KEY ACTOR IN DRIVE MARKET SENTIMENT .,one must bear in mind that financial market players are key actors in driving market sentiment.
PSYCHOLOGY DESC-ALSO MATTER IN MARKET .,psychology also matters in the market.
"DESC-FINANCIAL CRISIS BE BEAR OUT DESC-SHORT TERMISM , PRO CYCLICALITY AND LACK RESPONSIBILITY .","the financial crisis is bearing out short termism, pro cyclicality and lack of responsibility."
THAT BE WHAT X-WE MUST DESC-URGENTLY DESC-CORRECT .,that is what we must urgently correct.
X-WE NEED DESC-RESPONSIBLE BEHAVIOR FROM ALL X-WE MARKET PLAYER .,we need responsible behaviour from all our market players.
X-WE HAVE DESC-ALREADY BE DO LOT AS REGARD DESC-FINANCIAL MARKET REFORM .,we have already been doing a lot as regards financial market reform.
X-I COUNT ON THIS HOUSE TO MAKE THIS DESC-CLEAR TO ALL .,i count on this house to make this clear to all.
THIS WORK MUST BE SPEED DESC-UP .,this work must be speeded up.
IN COME WEEK X-WE WILL NEED TO DESC-COMPLETE REFORM DESC-ALREADY UNDER WAY .,in the coming weeks we will need to complete the reforms already under way.
X-I WOULD DESC-ALSO LIKE DESC-EARLY AGREEMENT ON DESC-EFFECTIVE DESC-NEW EUROPEAN DESC-SUPERVISORY ARRANGEMENT .,i would also like an early agreement on effective new european supervisory arrangements.
EUROPEAN DESC-SYSTEMIC RISK BOARD AND THREE DESC-SUPERVISORY AUTHORITY SHOULD START WORK AT BEGIN DESC-20IT BE DESC-HIGH TIME TO DELIVER SE DECISION AND MAKE DESC-SURE X-Y BE DESC-AMBITIOUS .,the european systemic risk board and three supervisory authorities should start work at the beginning of 20it is high time to deliver these decisions and make sure they are ambitious.
X-WE BE DESC-ALSO DESC-NOW CONSIDER WHER DESC-FURR SPECIFIC MEASURE BE NEED FOR DESC-SOVEREIGN DERIVATIVE MARKET .,we are also now considering whether further specific measures are needed for sovereign derivative markets.
CRISIS HAVE DESC-ALSO DESC-ONCE DESC-AGAIN BRING ROLE CREDIT RATING AGENCY TO FORE .,the crisis has also once again brought the role of credit rating agencies to the fore.
X-WE MUST GET X-WE DESC-OWN HOUSE IN ORDER WHILE PUSH DESC-OR TO DO DESC-SAME .,we must get our own house in order while pushing others to do the same.
COMMISSION WILL DO WHATEVER BE DESC-NECESSARY TO ENSURE THAT DESC-FINANCIAL MARKET BE DESC-NOT PLAYGROUND FOR SPECULATION .,the commission will do whatever is necessary to ensure that the financial markets are not a platform for speculation.
X-Y MUST DESC-NOT BECOME DETACH FROM X-Y DESC-ECONOMIC AND DESC-SOCIETAL FUNCTION .,they must not become detached from their economic and social functions.
"X-WE ACT DESC-SWIFTLY DESC-N , AND DESC-PRECISELY FOR THAT REASON , X-WE WILL DESC-ALSO ACT DESC-SWIFTLY IN FUTURE .","we acted swiftly then, and precisely for that reason, we will also act swiftly in the future."
X-WE WOULD LIKE TO ADD X-WE VOICE TO CONDOLENCE WHICH MR BARROSO HAVE DESC-EXPRESS IN X-HE SPEECH .,we would like to add our voice to the conviction which mr barroso has expressed in his speech.
EVENT WHICH MR BARROSO BE SPEAK TAKE PLACE TODAY IN GREECE .,the events which mr barroso was speaking took place today in greece.
X-WE HAVE DESC-HIGH HOPE THAT IMPASSE IN GREECE WILL BE BREAK .,we have high hopes that the impasse in greece will be broken.
DESC-RECENT PROBLEM DESC-RE AROUSE CONCERN AND INTEREST ALL MEMBER EUROPEAN PARLIAMENT .,the recent problems there aroused the concerns and interests of all members of the european parliament.
X-I DO DESC-NOT THINK DESC-SO .,i do not think so.
"SE ANSWER BE DESC-NOT ABOUT COURT DESC-POPULAR OPINION , BUT ABOUT BE DESC-RESPONSIBLE AND SENSIBLE .","these answers are not about court popular opinion, but about being responsible and sensible."
WILL THIS ARGUMENT BE HEAR BY COUNCIL ?,will this argument be heard by the council?
WILL X-WE BE DESC-ABLE TO ENSURE THAT X-IT BE HEAR DESC-LOUD AND DESC-CLEAR ?,will we be able to ensure that it is heard loud and clear?
"X-I PUT QUESTION TO MR VERHOFSTADT , WHO HAVE SOME EXPERIENCE THIS COUNCIL .","i put the question to mr verhofstadt, who has some experience of this council."
"DO X-HE THINK X-IT BE DESC-POSSIBLE TO ENTER INTO DISCUSSION , DESC-TOGER , WITHIN COUNCIL ?","does he think it is possible to enter into discussions, together, within the council?"
WILL THIS ARGUMENT BE TAKE DESC-UP BY COMMISSION ?,will this argument be taken up by the commission?
"LADY AND GENTLEMAN , X-I BE DESC-NOT IDEALIST .","ladies and gentlemen, I am not an idealist."
X-WE MUST FOLLOW X-Y EXAMPLE X-Y DO DESC-NOT WAIT X-Y DO DESC-NOT HOLD REFERENDUM .,we must follow their example they do not wait they do't hold referendums.
X-Y SEIZE X-Y DESC-POLITICAL COURAGE WITH BOTH HAND TO RESPOND TO DESC-CRUCIAL ISSUE THAT ARISE .,they seize their political courage with both hands to respond to the crucial issues that arise.
X-WE DESC-URGENTLY NEED DESC-ECONOMIC AND DESC-SOCIAL GOVERNANCE X-WE DESC-URGENTLY NEED ADAPTATION RULE ON TAXATION .,we urgently need economic and social governance we urgently need adaptation of the rules on taxation.
EUROPEAN SOLIDARITY APPLY TO EVERY ONE 27 COUNTRY .,european solidarity applies to every one of the 27 countries.
"X-I CALL ON X-YOU , MEMBER COUNCIL , TO SEE EUROPE AS X-IT DESC-REALLY BE .","i call on you, members of the council, to see europe as it really is."
WHAT WILL BECOME X-WE EURO ?,what will become of our euro?
WHAT WILL X-WE BE DESC-ABLE TO DO FOR X-WE EUROPEAN CITIZEN ?,what will we be able to do for our european citizens?
THANK X-YOU FOR X-YOU ATTENTION .,thank you for your attention.
"X-WE SHARE THIS RESPONSIBILITY DESC-JOINTLY , AND TIME WILL DESC-NOT STAND DESC-STILL FOR X-WE .","we share this responsibility jointly, and time will not stand still for us."
"X-I HAVE , DESC-HERE , BARRY MADLENER AS SPEAKER .","i have, here, barry madlener as speaker."
X-I WILL GIVE X-YOU FLOOR IN DESC-FEW MINUTE .,i will give you the floor in a few minutes.
X-I PROMISE X-YOU WILL BE DESC-ABLE TO SPEAK .,i promise you will be able to speak.
X-WE CAN DESC-NOT CONTINUE TO DESC-SIMPLY PLAY MONITORING ROLE .,we cannot continue to simply play a monitoring role.
EUROPEAN UNION MUST PLAY PART IN REFORM AND SUPPORT X-IT .,the european union must play a part in reform and support it.
"IN ORDER TO ACHIEVE ALL SE DESC-AMBITIOUS OBJECTIVE , X-WE MUST DESC-FIRST LEARN TO WORK DESC-TOGER .","in order to achieve all these ambitious objectives, we must first learn to work together."
X-WE MUST LEARN TO BUILD AND GROW DESC-STRONG DESC-TOGER .,we must learn to build and grow strong together.
"DESC-SECONDLY , X-WE MUST EQUIP X-OURSELVES WITH MECHANISM THAT X-WE NEED TO TACKLE CRISIS .","secondly, we must equip ourselves with the mechanisms that we need to tackle the crisis."
"DESC-THIRDLY , X-WE MUST DEVELOP DESC-NEW CONCEPT EUROPEAN SOLIDARITY .","thirdly, we must develop new concepts of european solidarity."
"DESC-CURRENT CRISIS BE ACID TEST , AND X-WE MUST UNDERSTAND X-ITS DESC-FULL SIGNIFICANCE .","the current crisis is an acid test, and we must understand its full significance."
"DESC-FOURTHLY , X-WE NEED TO ATTACH DESC-NECESSARY IMPORTANCE TO DESC-FINANCIAL SPHERE .","fourthly, we need to attach the necessary importance to the financial sphere."
FUTURE X-WE CONTINENT BE AT STAKE .,the future of our continent is at stake.
"FUTURE EUROPE DEPEND ON X-WE INTELLIGENCE , X-WE SOLIDARITY AND X-WE FIRMNESS .","the future of europe depends on our intelligence, our solidarity and our firmness."
THIS BE DESC-REFORE DESC-FAR MORE DESC-SERIOUS AND MORE DESC-WIDESPREAD .,this is therefore far more serious and more widespread.
X-WE HAVE NO DESC-OR INSTRUMENT .,we have no other instruments.
"DESC-REFORE , THIS SYSTEM HAVE TO WORK , AND X-IT HAVE TO BE SUPPORT .","therefore, this system has to work, and it has to be supported."
WHY ?,why?
BECAUSE THIS BE DESC-INTERGOVERNMENTAL SYSTEM !,because this is an intergovernmental system!
"DESC-HOWEVER , EUROPEAN LEVEL INITIATIVE BE DESC-DEFINITELY DESC-GOOD IDEA THAT MUST BE LOOK INTO .","however, the european level initiative is definitely a good idea that must be looked into."
BE X-I DESC-NOT DESC-RIGHT IN THINK THAT X-IT BE COUNCIL THAT CHANGE COMMISSION X-POSS PROPOSAL ?,is I not right in thinking that it is the council that changed the commission's proposal?
"X-IT WILL TAKE NO TIME AT ALL TO APPROVE X-Y , AND DESC-FINANCIAL SUPERVISION WILL BE APPLY .","it will take no time at all to approve them, and financial supervision will be applied."
X-IT BE DESC-CLEAR THAT X-WE HAVE BE DRIFT FOR FOUR MONTH .,it is clear that we have been drifting for four months.
X-IT BE DESC-CLEAR THAT X-WE HAVE MAKE MISTAKE .,it is clear that we have made mistakes.
"X-IT BE DESC-CLEAR THAT , BY DRIFT , X-WE HAVE GIVE IMPETUS TO MARKET AND TO SPECULATION .","it is clear that, by drift, we have given impetus to the market and to speculation."
THOSE COUNCIL MEMBER WHO BE DESC-RESPONSIBLE SHOULD AT DESC-LEAST ADMIT X-IT !,those council members who are responsible should at least admit it!
X-IT BE X-WE ! BE TO BLAME !,it is we! is to blame!
THAT BE X-MY DESC-FIRST POINT .,that is my first point.
HOW DESC-MUCH TIME DO FRANCE NEED TO REFORM PENSION ?,how much time does france need to reform pensions?
HOW DESC-MUCH TIME DO GERMANY NEED TO BUILD DESC-UP PENSION ?,how much time does germany need to build up pensions?
"DESC-NOW , MR PAPANDREOU BE BE ASK TO CHANGE EVERYTHING IN THREE MONTH .","now, mr papandreou is being asked to change everything in three months."
X-YOU BE DESC-COMPLETELY DESC-CRAZY .,you are completely crazy.
EVENT DESC-CURRENTLY TAKE PLACE IN GREECE PROVE X-IT .,the events currently taking place in greece prove it.
"GREECE DESC-RAR , MR PAPANDREOU BE DESC-NOT BE GIVE TIME TO ACHIEVE CONSENSUS IN GREECE .","greece rather, mr papandreou is not being given time to achieve consensus in greece."
NO ONE IDENTIFY WITH STATE IN GREECE .,no one identified with the state in greece.
"WHAT MUST BE CREATE , DESC-HOWEVER , BE COHESION .","what must be created, however, is cohesion."
"X-IT MUST BE CREATE , X-IT CAN DESC-NOT BE DECREE !","it must be created, it cannot be decided!"
"MR BARROSO KNOW SOMETHING ABOUT THIS , SINCE X-HE LOSE ELECTION IN THIS WAY .","mr barroso knows something about this, since he lost the elections in this way."
THAT BE DESC-UNACCEPTABLE !,that is unacceptable!
"BESIDES , EUROPE CAN TAKE INITIATIVE .","besides, europe can take initiatives."
TREATY MUST BE AMEND .,the treaty must be amended.
LET X-WE DESC-NOT WAIT FOR COUNCIL X-IT BE DESC-INCAPABLE REACH DECISION .,let us not wait for the council it is impossible reach a decision.
"X-WE CAN DO X-IT DESC-YES , X-WE CAN .","we can do it yes, we can."
X-WE DO X-IT .,we did it.
"DESC-RE BE EMPLOYMENT PROBLEM , DESC-RE BE EMPLOYEE .","there are employment problems, there are employees."
"IN DESC-OR WORD , DESC-POLITICAL INITIATIVE BETWEEN GREECE AND TURKEY AIM AT DISARMAMENT .","in other words, political initiatives between greece and turkey aim at disarmament."
LET X-Y DISARM .,let them disarm.
"X-I WILL SAY ONE THING PEOPLE BE , DESC-NONELESS , DESC-HYPOCRITICAL .","i will say one thing people are, nonetheless, hypocritical."
THAT COME TO DESC-ALMOST EUR 3 BILLION .,that comes to almost eur 3 billion.
X-Y COME TO EUR 1 BILLION .,they come to eur 1 billion.
DESC-YET THIS BE DESC-COMPLETELY DESC-HYPOCRITICAL .,yet this is completely hypocritical.
X-WE BE GIVE X-Y MONEY TO BUY X-WE WEAPON .,we are giving them money to buy our weapons.
LET DESC-RE BE SOME TRANSPARENCY AT DESC-LEAST .,let there be some transparency at least.
LET X-WE KNOW !,let us know!
GERMANY HAVE 200 000 .,germany has 200 000.
THIS BE DESC-COMPLETELY DESC-ABSURD COUNTRY WITH 11 MILLION INHABITANT HAVE 100 000 SOLDIER !,this is a completely absurd country with 11 million inhabitants having 100 000 soldiers!
LET X-WE PUT THAT TO GREECE .,let us put that to greece.
X-IT MAY DESC-WELL BE MORE DESC-EFFECTIVE THAN CUT PAY SOMEONE WHO EARN EUR 1 000 .,it may well be more effective than cutting the pay of someone who earns eur 1 000.
THIS BE X-MY REQUEST TO COMMISSION BE DESC-LITTLE DESC-FAIRER .,this is my request to the commission is a little fairer.
APPLAUSE,applause
"LADY AND GENTLEMAN , X-I SHARE CONCERN EUROPEAN PEOPLE ABOUT DESC-CURRENT DEVELOPMENT .","ladies and gentlemen, I share the concerns of the european people about current developments."
"SAVER AND PENSIONER , FOR EXAMPLE , BE ASK X-MSELVES WHERE THIS BE HEAD .","savers and pensioners, for example, are asking themselves where this is heading."
QUESTION AND CONCERN BE BOTH DESC-LEGITIMATE .,the questions and concerns are both legitimate.
EUR 110 BILLION PACKAGE BE DESC-ENORMOUS AMOUNT MONEY .,the eur 110 billion package is an enormous amount of money.
"X-WE DESC-FIRST TALK ABOUT 35 BILLION , DESC-N 60 BILLION , AND DESC-NOW 110 BILLION .","we first talked about 35 billion, then 60 billion, and now 110 billion."
WHO WOULD DESC-NOT WANT THAT ?,who would not want that?
QUESTION BE WHER OR DESC-NOT GREECE WILL COME OUT DESC-OR END .,the question is whether or not greece will come out of the other end.
"X-WE BE DESC-NOW SEE STRIKE , REBELLION , RIOTING AND DESC-SO ON .","we are now seeing strikes, reellions, riots and so on."
"THIS MAKE GREEK PROBLEM EUROPEAN PROBLEM , X-WE PROBLEM .","this makes the greek problem a european problem, our problem."
X-WE MUST DESC-ALSO REWRITE RULE STABILITY AND GROWTH PACT .,we must also reiterate the rules of stability and growth pact.
"X-IT BE PROVIDE NEIR STABILITY NOR , AT DESC-PRESENT , DESC-ECONOMIC GROWTH .","it is providing neither stability nor, at present, economic growth."
THIS HAVE BE DESC-ABSENT IN DESC-RECENT YEAR .,this has been absent in recent years.
DESC-SUDDENLY X-WE HAVE DESC-WEAK EURO AND DESC-LOW GROWTH RATE .,suddenly we have a weak euro and a low growth rate.
"LADY AND GENTLEMAN , X-WE BE HOLD DESC-CAPTIVE BY ORY DESC-EVER CLOSER UNION .","ladies and gentlemen, we are held captive by the enemies of ever closer union."
"MR PRESIDENT , LADY AND GENTLEMAN , X-WE MUST , COURSE , PROVIDE ASSISTANCE TO GREECE .","mr president, ladies and gentlemen, we must, of course, provide assistance to greece."
"DESC-HOWEVER , DESC-SO CALL RESCUE OPERATION DESC-ALSO HAVE SOME DESC-ABSURD ELEMENT .","however, so called rescue operations also have some absurd elements."
"FOR YEAR , DESC-FINANCIAL MARKET HAVE BE DESC-INCREASINGLY DEREGULATE AND DESC-NOW EVERYONE BE SURPRISE THAT X-IT BE DESC-EXPENSIVE .","for years, the financial markets have been increasingly deregulated and now everyone is surprised that it is expensive."
WHO WILL DESC-NOW PAY PRICE FOR DESC-POLITICAL ERROR ?,who will now pay the price for political errors?
"WORKER , DESC-ORDINARY CITIZEN ?","workers, ordinary citizens?"
BANK BE DESC-NOT BE PLACE UNDER ANY OBLIGATION .,the banks are not being placed under any obligation.
"DESC-ONCE DESC-AGAIN , DESC-DEPENDENT WORKER BE TO HAVE TO ACCEPT PAY CUT .","once again, dependent workers are to have to accept paid cuts."
"WITH DICTATE FROM DESC-INTERNATIONAL DESC-MONETARY FUND , ANY SEMBLANCE DESC-DEMOCRATIC DECISION MAKE PROCESS HAVE BE ELIMINATE .","with the dictates from the international monetary fund, any substance of the democratic decision making process has been eliminated."
X-I BELIEVE THAT BE DESC-RIGHT .,i believe that is right.
ANYONE WHO DIG FOR MONEY OR GOLD SHOULD DESC-ALSO BE DESC-RESPONSIBLE FOR DAMAGE IN CASE DOUBT .,anyone who dig for money or gold should also be responsible for the damage in case of doubt.
PROPOSAL FOR WHAT COULD BE DO BE ON TABLE .,a proposal for what could be done is on the table.
"COURSE , GREECE MUST DESC-ALSO DO X-ITS HOMEWORK .","of course, greece must also do its homework."
MR COHN BENDIT HAVE DESC-ALREADY SPEAK DESC-VERY DESC-CONVINCINGLY ABOUT THIS .,mr cohn bendit has already spoken very unconvincingly about this.
X-I WILL DESC-REFORE OMIT FACT IN THIS REGARD AND ENDORSE WHAT X-HE SAY IN X-HE SPEECH .,i will therefore omit the facts in this regard and endorse what he said in his speech.
X-I CAN UNDERSTAND PEOPLE IN AN GO OUT INTO STREET AND PROTEST .,i can understand people in an go out into the street and protest.
WHAT X-I CAN DESC-NOT UNDERSTAND BE VIOLENCE .,what I cannot understand is violence.
"X-I AGREE WITH EVERYONE WHO HAVE DESC-EXPRESS SYMPATHY FOR VICTIM , WHOSE SUFFER BE MOST DESC-REGRETTABLE .","i agree with everyone who has expressed sympathy for the victims, whose suffering is most regrettable."
VIOLENCE WILL ACHIEVE OPPOSITE WHAT PROTESTER AND DESC-HONEST DEMONSTRATOR WANT .,violence will achieve the opposite of what the protesters and honest demonstrators want.
X-WE MUST CALL FOR END TO VIOLENCE .,we must call for an end to violence.
"MR PRESIDENT , THANK X-YOU DESC-VERY DESC-MUCH .","mr president, thank you very much."
SE BE DESC-DANGEROUS TIME .,these are dangerous times.
GREECE BE ONE X-Y X-IT BE TIP ICEBERG .,greece is one of them it is a tiny iceberg.
X-Y SAY SOLIDARITY BE NEED .,they say solidarity is needed.
LET X-I REMIND X-YOU THAT GREECE HAVE BE DESC-LARGEST NET BENEFICIARY EUROPEAN FUND FOR YEAR .,let me remind you that greece has been the largest net beneficiary of the european funds for years.
X-YOU SHOULD BE DESC-THOROUGHLY DESC-ASHAMED .,you should be thoroughly ashamed.
"COUNTRY MUST REINTRODUCE DRACHMA , AS X-ITS MEMBERSHIP EURO AREA BE DESC-UNTENABLE .","the country must reintroduce dachma, as its membership of the euro area is untenable."
IMMIGRATION HAVE RUN RIOT WHILST X-YOU HAVE LOOK ON AND DO NOTHING .,immigration has run riot whilst you have looked on and done nothing.
"EL MR PRESIDENT , THANK X-YOU .","el mr president, thank you."
DESC-RE BE DESC-ABSOLUTELY NO EXCUSE FOR THIS .,there is absolutely no excuse for this.
"SE PEOPLE BE KILL BY MURDERER , BY DESC-CRIMINAL .","these people were killed by the murderers, by the criminals."
WORKER HOLD DESC-MASSIVE PEACE RALLY IN AN TODAY .,workers hold massive peace rallies in the an today.
X-Y DO DESC-NOT KILL ANYONE .,they did not kill anyone.
X-I WOULD DESC-NOT LIKE TO GET INVOLVE IN DISCUSSION ABOUT THIS .,i would not like to get involved in discussions about this.
X-IT BE DESC-HUGE RESPONSIBILITY .,it is a huge responsibility.
"X-I BE MEMBER TRADE UNION AND ACTIVIST , AND BE DESC-VERY DESC-ACTIVE FOR DESC-MANY YEAR .","i am a member of trade unions and activists, and was very active for many years."
"THANK X-YOU FOR DESC-RESPONSIBLE DEBATE WHICH X-WE HAVE HAVE , TODAY , IN THIS CHAMBER .","thank you for the responsible debate which we have had, today, in this chamber."
WRITE STATEMENT RULE 149,written statements rule 149
X-WE BE EXPERIENCE DESC-SERIOUS SITUATION .,we are experiencing a serious situation.
X-IT SEEM DESC-RE BE NO LIMIT FOR LEADER EURO AREA .,it seems there is no limit for leaders of the euro area.
THIS DECISION MUST BE CHANGE AT NEXT SUMMIT .,this decision must be changed at the next summit.
EUROPE 2020 DESC-NEW EUROPEAN STRATEGY FOR JOB AND GROWTH DEBATE,europe 2020 new european strategy for jobs and growth debate
THIS BE DESC-DUAL CHALLENGE CONTAIN IN EUROPE 2020 STRATEGY .,this is the dual challenge contained in the europe 2020 strategy.
"DESC-FIRSTLY , STRUCTURE EUROPE 2020 STRATEGY HAVE SOME INTEGRATE GUIDELINE .","firstly, the structure of the europe 2020 strategy has some integrated guidelines."
"DESC-SECONDLY , X-WE HAVE DESC-MAIN TARGET , WHICH X-I REFER TO BEFORE .","secondly, we have the main target, which I referred to before."
"DESC-THIRDLY , DESC-RE BE SOMETHING DESC-NEW IN DESC-NEW STRATEGY DESC-NATIONAL OBJECTIVE .","thirdly, there is something new in the new strategy of national objectives."
"DESC-FIFTHLY , DESC-RE BE FLAGSHIP INITIATIVESTHAT BE BE DEVELOP BY COMMISSION .","fifthly, there is the flagship initiativethat is being developed by the commission."
X-I WOULD LIKE TO EMPHASISE THAT WORK WILL COURSE DESC-NOT BE FINISH IN JUNE .,i would like to emphasise that the work will of course not be finished in june.
"THAT BE WHEN EUROPE 2020 STRATEGY WILL BE LAUNCH , BUT WORK WILL DESC-NOT BE FINISH DESC-N .","that is when the europe 2020 strategy will be launched, but the work will not be finished then."
X-IT WILL HAVE TO BE IMPLEMENT AND APPLY THROUGH DESC-NATIONAL REFORM PROGRAM .,it will have to be implemented and applied through national reform programmes.
"MADAM PRESIDENT , EUROPE HAVE BE DESC-PRESENT WITH DESC-STARK CHOICE .","madam president, europe has been presented with a stark choice."
"OR X-WE COULD INCREASE EUROPEAN COOPERATION IN DESC-EFFECTIVE WAY , USE ALL TOOL AT X-WE DISPOSAL .","or we could increase european cooperation in an effective way, using all the tools at our disposal."
LET X-I TOUCH BRIEFLY ON MOST X-Y .,let me touch briefly on most of them.
"G20 HAVE BE DESC-INSTRUMENTAL IN ADDRESS DESC-FINANCIAL DESC-ECONOMIC CRISIS , IMPROVE GOVERNANCE ON MORE DESC-GLOBAL LEVEL .","the g20 has been instrumental in addressing the financial economic crisis, improving governance on a more global level."
X-WE HAVE TO ADDRESS DESC-GLOBALLY SOME IMBALANCE THAT BE AT ORIGIN THIS CRISIS .,we have to address globally some of the imbalances that are at the origin of this crisis.
X-WE SHOULD DESC-ALSO ENSURE THAT BURDEN REBALANCING DESC-GLOBAL GROWTH BE SHARE BY ALL G20 MEMBER .,we should also ensure that the burden of rebalancing global growth is shared by all g20 members.
X-IT BE DESC-IMPORTANT THAT EUROPE DESC-PRESENT COORDINATE APPROACH TO GANOR OBJECTIVE WILL BE DRIVE ON WITH DESC-FINANCIAL MARKET REFORM .,it is important that europe presents a coordinated approach to the gender objectives will be driven on with financial market reforms.
X-WE SHOULD STRIVE FOR COORDINATE AND DESC-STRONG APPROACH .,we should strive for a coordinated and strong approach.
"DESC-GLOBAL AGREEMENT ON BANK STABILITY LEVY , LINK TO CONCRETE RESOLUTION MEASURE , WOULD SEND DESC-STRONG SIGNAL .","a global agreement on bank stability levers, linked to concrete resolution measures, would send a strong signal."
"AS IMF DESC-RECENTLY SUGGEST , THIS COULD BE COMPLEMENT BY TAX ON DESC-FINANCIAL ACTIVITY OR PROFIT .","as the imf recently suggested, this could be complemented by a tax on financial activities or profits."
X-IT BE GO TO BE DESC-EXTREMELY DESC-DIFFICULT DEBATE .,it is going to be an extremely difficult debate.
THAT WILL REQUIRE FLEXIBILITY AND DESC-CREATIVE PRAGMATISM FROM BOTH THIS HOUSE AND FROM COUNCIL .,that will require flexibility and creative pragmatism from both this house and from the council.
X-WE HAVE HAVE DESC-SEVERAL OCCASION TO DEBATE X-Y IN THIS HOUSE .,we have had several occasions to debate them in this house.
"DESC-EVEN BEFORE X-WE MAKE PROPOSAL , COMMISSION CONSULT X-YOU ABOUT THIS .","even before we made the proposal, the commission consulted you about this."
DESC-BETTER COORDINATION X-WE DESC-ECONOMIC POLICY BE CENTER PIECE EUROPE DESC-20EVEN BEFORE THIS GREEK CRISIS X-WE BE SUGGEST AND PROPOSE MORE COORDINATION DESC-ECONOMIC POLICY .,better coordination of our economic policy is the centre piece of europe 20even before this greek crisis we were suggesting and proposing more coordination of economic policy.
THIS BE DESC-CLEARLY DESC-NECESSARY IN ORDER TO AVOID FUTURE CRISIS .,this is clearly necessary in order to avoid a future crisis.
X-I BE DESC-ALSO DESC-STRONGLY COMMIT TO GET DESC-NUMERICAL TARGET ON FIGHT AGAINST POVERTY AND DESC-SOCIAL EXCLUSION .,i am also strongly committed to getting a numerical target on the fight against poverty and social exclusion.
X-WE DESC-SIMPLY CAN DESC-NOT ACCEPT CONTINUE SCANDAL 80 MILLION PEOPLE AT RISK POVERTY IN EUROPEAN UNION .,we simply cannot accept the continuing scandal of 80 million people at risk of poverty in the european union.
EUROPE 2020 MUST BE DESC-BALANCED PROGRAM .,europe 2020 must be a balanced programme.
"MEMBER STATE BE IN PROCESS SET SE DESC-NATIONAL TARGET , IN COOPERATION WITH COMMISSION .","member states are in the process of setting these national targets, in cooperation with the commission."
COMMISSION ISSUE PROPOSAL ON INTEGRATE GUIDELINE DESC-LAST WEEK .,the commission issued a proposal on integrated guidelines last week.
X-Y REFLECT PRIORITY EUROPE 2020 STRATEGY .,they reflect the priorities of the europe 2020 strategy.
X-I THINK THIS BE PROGRESS .,i think this is progress.
THAT BE WHY X-WE NEED TO DESC-CLOSE THIS DELIVERY GAP THAT PREVAIL UNDER LISBON STRATEGY .,that is why we need to close this delivery gap that prevails under the lisbon strategy.
"IF X-WE WANT TO BE DESC-SERIOUS ABOUT DESC-ECONOMIC GOVERNANCE , THAT BE DESC-ONLY WAY TO DO X-IT .","if we want to be serious about economic governance, that is the only way to do it."
THIS DESC-REALLY CAN DESC-NOT CONTINUE .,this really cannot continue.
"DESC-THUS , THING MUST BE DO DESC-DIFFERENTLY WITH EU 2020 STRATEGY .","thus, things must be done differently with the eu 2020 strategy."
PARLIAMENT WILL CHALLENGE X-YOU TO DO DESC-SO IF NEED BE .,parliament will challenge you to do so if needed is.
X-YOU CAN COUNT ON X-WE SUPPORT .,you can count on our support.
X-IT BE TO BE DESC-WELCOME THAT COUNCIL HAVE SET DESC-UP TASK FORCE .,it is to be welcomed that the council has set up a task force.
DESC-RE BE NO TIME TO LOSE .,there is no time to lose.
DO THAT LINK DESC-REALLY MEAN ANYTHING IN PRACTICE ?,does that link really mean anything in practice?
HOW CAN ONE THINK THAT X-WE WOULD COMMIT X-OURSELVES FOR NEXT 10 YEAR ?,how can one think that we would commit ourselves for the next 10 years?
"BE THAT CHANGE , THOUGH , MR BARROSO ?","is that changing, though, mr barroso?"
X-WE DESC-ALSO HAVE TO LOOK AT WHERE X-WE WANT TO GO .,we also have to look at where we want to go.
X-WE CAN DESC-NOT IGNORE X-IT .,we cannot ignore it.
X-WE CAN DESC-NOT CONSIDER THAT STRATEGY WITHOUT USE TOOL AT X-WE DISPOSAL .,we cannot consider that strategy without using tools at our disposal.
"AS X-YOU DESC-WELL KNOW , MR BARROSO , X-WE BE DESC-NOT AS DESC-RICH AS ALL THAT .","as you well know, mr barroso, we are not as rich as all that."
"IF X-Y BE DESC-NOT DESC-CLEARLY LINK , X-WE WILL GO DESC-NOWHERE .","if they are not clearly linked, we will go nowhere."
"DESC-FURR , WHEN X-WE LOOK AT POINT DEPARTURE , X-WE HAVE SOME CONCERN .","further, when we look at the points of departure, we have some concerns."
"THIS BE DESC-NOT ABOUT GREECE , OR ABOUT ANY DESC-OR MEMBER STATE .","this is not about greece, or about any other member state."
THIS BE ABOUT DOMINO EFFECT AND ABOUT LACK RESTRICTION ON SPECULATION .,this is about DOMINO effects and about a lack of restrictions on speculation.
THIS BE DESC-NOT X-WE VISION FUTURE .,this is not our vision of the future.
THIS BE DESC-NOT TIME .,this is not the time.
"X-WE NEED DESC-REAL ACTION , AND X-WE NEED X-IT DESC-NOW .","we need real action, and we need it now."
LET X-I MAKE COMPARISON .,let me make a comparison.
THAT BE COMPARISON X-WE HAVE TO MAKE .,that is the comparison we have to make.
